contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type
SPY250221C00606000,2025-01-23 16:51:34+00:00,606.0,9.98,10.02,10.04,0.3899994,4.0667295,570.0,3038,0.13578134735107422,True,REGULAR,USD,call
SPY250221C00607000,2025-01-23 16:52:31+00:00,607.0,9.29,9.38,9.41,0.22999954,2.5386262,419.0,4011,0.1339808282470703,True,REGULAR,USD,call
SPY250221C00608000,2025-01-23 16:54:48+00:00,608.0,8.8,8.78,8.8,0.4499998,5.395681,2329.0,9787,0.13221082641601564,False,REGULAR,USD,call
SPY250221C00609000,2025-01-23 16:46:15+00:00,609.0,8.36,8.16,8.18,0.55999947,7.17948,183.0,4423,0.1300441000366211,False,REGULAR,USD,call
SPY250221C00610000,2025-01-23 16:52:10+00:00,610.0,7.54,7.63,7.65,0.26999998,3.7138925,1243.0,15544,0.1289149609375,False,REGULAR,USD,call
SPY250221C00611000,2025-01-23 16:46:15+00:00,611.0,7.19,7.08,7.1,0.3499999,5.0505037,211.0,3767,0.12723651092529298,False,REGULAR,USD,call
SPY250221C00612000,2025-01-23 16:34:41+00:00,612.0,6.62,6.53,6.55,0.26999998,4.2519684,197.0,3064,0.12528340545654298,False,REGULAR,USD,call
SPY250221C00613000,2025-01-23 16:54:02+00:00,613.0,6.06,6.06,6.08,0.17999983,3.0612216,79.0,5055,0.12421530090332032,False,REGULAR,USD,call
SPY250221C00614000,2025-01-23 16:41:54+00:00,614.0,5.6,5.59,5.61,0.25999975,4.868909,392.0,3374,0.12284202362060548,False,REGULAR,USD,call
SPY250221C00615000,2025-01-23 16:53:25+00:00,615.0,5.13,5.14,5.16,0.22000027,4.480657,2665.0,30276,0.12149926361083985,False,REGULAR,USD,call
SPY250221C00616000,2025-01-23 16:53:00+00:00,616.0,4.7,4.72,4.74,-0.05000019,-1.0526356,102.0,2527,0.1202785726928711,False,REGULAR,USD,call
SPY250221C00617000,2025-01-23 16:46:12+00:00,617.0,4.47,4.31,4.33,0.25,5.924171,254.0,1687,0.11890529541015624,False,REGULAR,USD,call
SPY250221C00618000,2025-01-23 16:53:06+00:00,618.0,3.95,3.94,3.95,0.17000008,4.4973564,165.0,4393,0.1176846044921875,False,REGULAR,USD,call
SPY250221C00619000,2025-01-23 16:32:56+00:00,619.0,3.64,3.6,3.61,0.07000017,1.9607892,41.0,3517,0.11676908630371094,False,REGULAR,USD,call
SPY250221C00620000,2025-01-23 16:55:26+00:00,620.0,3.26,3.25,3.29,0.1400001,4.487183,1356.0,17497,0.1159146026611328,False,REGULAR,USD,call
SPY250221C00621000,2025-01-23 16:45:27+00:00,621.0,3.07,2.95,2.97,0.13999987,4.7781525,172.0,3465,0.11469391174316407,False,REGULAR,USD,call
SPY250221C00622000,2025-01-23 16:40:46+00:00,622.0,2.71,2.69,2.7,0.059999943,2.2641487,92.0,4866,0.11402253173828125,False,REGULAR,USD,call
SPY250221C00623000,2025-01-23 16:53:51+00:00,623.0,2.43,2.42,2.44,0.08000016,3.4334834,148.0,3389,0.11322908264160156,False,REGULAR,USD,call
SPY250221C00624000,2025-01-23 16:51:32+00:00,624.0,2.16,2.18,2.2,0.07000017,3.3492906,285.0,2743,0.1124966680908203,False,REGULAR,USD,call
SPY250221C00625000,2025-01-23 16:52:56+00:00,625.0,1.95,1.96,1.97,0.07000005,3.723407,347.0,38672,0.11158114990234375,False,REGULAR,USD,call
SPY250221C00630000,2025-01-23 16:52:56+00:00,630.0,1.12,1.12,1.13,0.01999998,1.8181801,889.0,16111,0.10895666442871094,False,REGULAR,USD,call
SPY250221C00635000,2025-01-23 16:55:27+00:00,635.0,0.63,0.62,0.63,0.00999999,1.6129017,3367.0,12271,0.10767493896484376,False,REGULAR,USD,call
SPY250221C00640000,2025-01-23 16:49:47+00:00,640.0,0.36,0.35,0.36,0.01000002,2.8571486,115.0,10138,0.10828528442382812,False,REGULAR,USD,call
SPY250221C00645000,2025-01-23 16:23:05+00:00,645.0,0.22,0.21,0.22,0.0,0.0,45.0,5679,0.11084873535156249,False,REGULAR,USD,call
SPY250221C00650000,2025-01-23 16:52:16+00:00,650.0,0.15,0.15,0.16,0.010000005,7.1428604,70.0,9549,0.11646391357421876,False,REGULAR,USD,call
SPY250221C00655000,2025-01-23 16:38:59+00:00,655.0,0.11,0.11,0.12,0.0,0.0,24.0,3033,0.12207909179687501,False,REGULAR,USD,call
SPY250221C00660000,2025-01-23 16:36:12+00:00,660.0,0.08,0.08,0.09,-0.010000005,-11.111116,30.0,2690,0.1274501318359375,False,REGULAR,USD,call
SPY250221C00665000,2025-01-23 16:38:35+00:00,665.0,0.08,0.07,0.08,0.0,0.0,1249.0,13353,0.13526255371093754,False,REGULAR,USD,call
SPY250221C00670000,2025-01-23 16:38:35+00:00,670.0,0.07,0.06,0.07,0.0,0.0,6050.0,9407,0.14258669921875,False,REGULAR,USD,call
SPY250221C00675000,2025-01-23 16:38:35+00:00,675.0,0.06,0.06,0.07,0.0,0.0,8.0,2944,0.15235222656250003,False,REGULAR,USD,call
