contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,type,expirationDate,midprice,smoothed_midprice
SPY250221C00563000,2025-01-17 20:50:34+00:00,563.0,39.42,46.76,47.56,0.0,0.0,11.0,103,0.2552869882202149,call,2025-02-21,47.16,47.36130086671004
SPY250221C00564000,2025-01-21 18:14:48+00:00,564.0,42.19,46.36,46.48,0.0,0.0,1.0,141,0.2491835336303711,call,2025-02-21,46.42,46.394029592369094
SPY250221C00565000,2025-01-23 15:34:38+00:00,565.0,44.35,45.35,45.48,-0.5699997,-1.2689219,4.0,10359,0.245124736328125,call,2025-02-21,45.415,45.43274634590314
SPY250221C00566000,2025-01-17 18:59:27+00:00,566.0,37.04,44.39,44.52,0.0,0.0,4.0,120,0.2420424917602539,call,2025-02-21,44.455,44.47654281693623
SPY250221C00567000,2025-01-22 14:54:10+00:00,567.0,42.53,43.49,43.61,0.0,0.0,1.0,187,0.2401809381103515,call,2025-02-21,43.55,43.523816535915444
SPY250221C00568000,2025-01-22 19:18:53+00:00,568.0,42.43,42.49,42.61,0.0,0.0,6.0,206,0.2360305889892577,call,2025-02-21,42.55,42.572901514043906
SPY250221C00569000,2025-01-22 16:38:05+00:00,569.0,41.96,41.56,41.7,0.0,0.0,53.0,140,0.2340774835205077,call,2025-02-21,41.63,41.62253097034631
SPY250221C00570000,2025-01-22 20:37:01+00:00,570.0,40.8,40.62,40.74,0.29999924,0.74073887,1.0,1113,0.2308426525878906,call,2025-02-21,40.68,40.672062483449366
SPY250221C00571000,2025-01-22 18:50:02+00:00,571.0,40.07,39.71,39.83,0.0,0.0,1.0,539,0.2287064434814453,call,2025-02-21,39.769999999999996,39.72150804865638
SPY250221C00572000,2025-01-21 18:28:16+00:00,572.0,34.66,38.65,38.77,0.0,0.0,6.0,305,0.2231522998046874,call,2025-02-21,38.71,38.77142589940965
SPY250221C00573000,2025-01-22 15:03:35+00:00,573.0,37.23,37.77,37.88,0.0,0.0,1.0,249,0.2213822979736328,call,2025-02-21,37.825,37.822727894896545
SPY250221C00574000,2025-01-22 17:44:01+00:00,574.0,37.05,36.8,36.92,0.0,0.0,52.0,337,0.2180253979492187,call,2025-02-21,36.86,36.876434587220444
SPY250221C00575000,2025-01-23 16:49:07+00:00,575.0,36.09,35.88,35.99,1.0,2.8498147,6.0,27898,0.215278843383789,call,2025-02-21,35.935,35.93343802832899
SPY250221C00576000,2025-01-22 16:33:07+00:00,576.0,35.19,34.88,34.99,0.0,0.0,4.0,544,0.2109453906249999,call,2025-02-21,34.935,34.99433717033848
SPY250221C00577000,2025-01-23 16:30:00+00:00,577.0,34.17,33.96,34.06,0.25999832,0.76673055,4.0,402,0.2081378015136718,call,2025-02-21,34.010000000000005,34.05939314262764
SPY250221C00578000,2025-01-22 20:48:01+00:00,578.0,32.82,33.14,33.25,0.0,0.0,6.0,795,0.207741076965332,call,2025-02-21,33.195,33.128673457662046
SPY250221C00579000,2025-01-23 15:25:03+00:00,579.0,30.98,32.09,32.2,-0.7900009,-2.4866254,1.0,880,0.2022784851074218,call,2025-02-21,32.145,32.202229310894666
SPY250221C00580000,2025-01-23 16:03:12+00:00,580.0,30.7,31.2,31.31,0.060001373,0.19582693,37.0,11504,0.2000812414550781,call,2025-02-21,31.255,31.28027854574527
SPY250221C00581000,2025-01-22 19:37:33+00:00,581.0,30.3,30.32,30.42,0.0,0.0,9.0,835,0.1977924459838867,call,2025-02-21,30.37,30.363250548580197
SPY250221C00582000,2025-01-23 15:37:11+00:00,582.0,28.45,29.33,29.43,-0.44999886,-1.5570894,2.0,1318,0.1934589932250977,call,2025-02-21,29.38,29.45167290887966
SPY250221C00583000,2025-01-23 15:20:42+00:00,583.0,27.31,28.47,28.57,-0.7800007,-2.7767913,3.0,1761,0.1916279568481445,call,2025-02-21,28.52,28.546013606118095
SPY250221C00584000,2025-01-23 16:30:00+00:00,584.0,27.75,27.58,27.69,-0.12999916,-0.4662811,7.0,1904,0.1893086441040039,call,2025-02-21,27.634999999999998,27.646548955776485
SPY250221C00585000,2025-01-23 16:53:18+00:00,585.0,26.69,26.69,26.78,0.6400013,2.4568188,40.0,12799,0.1863179513549804,call,2025-02-21,26.735,26.75334240171042
SPY250221C00586000,2025-01-22 20:50:33+00:00,586.0,24.72,25.76,25.86,-0.63000107,-2.4852114,2.0,1613,0.1830831204223632,call,2025-02-21,25.810000000000002,25.866285471808954
SPY250221C00587000,2025-01-23 16:43:12+00:00,587.0,24.94,24.9,25.0,-0.21999931,-0.8744011,8.0,2112,0.1808553594970703,call,2025-02-21,24.95,24.985218696213554
SPY250221C00588000,2025-01-23 16:48:27+00:00,588.0,24.23,24.09,24.18,-0.069999695,-0.2880646,13.0,4686,0.1792379440307617,call,2025-02-21,24.134999999999998,24.110061632573455
SPY250221C00589000,2025-01-22 17:14:34+00:00,589.0,23.45,23.15,23.23,0.0,0.0,187.0,1559,0.175240181274414,call,2025-02-21,23.189999999999998,23.240961627364342
SPY250221C00590000,2025-01-23 15:57:12+00:00,590.0,21.77,22.31,22.39,-0.18999863,-0.86520326,55.0,33605,0.1730429376220703,call,2025-02-21,22.35,22.378392479939386
SPY250221C00591000,2025-01-23 16:19:40+00:00,591.0,21.35,21.46,21.54,0.65999985,3.189946,47.0,2852,0.1705710385131836,call,2025-02-21,21.5,21.523162974961853
SPY250221C00592000,2025-01-23 14:32:59+00:00,592.0,19.3,20.57,20.65,-0.710001,-3.548231,20.0,3076,0.1673362075805664,call,2025-02-21,20.61,20.67632687398521
SPY250221C00593000,2025-01-23 14:42:02+00:00,593.0,19.78,19.76,19.84,0.59000015,3.0745187,5.0,2425,0.1652915502929687,call,2025-02-21,19.8,19.839012967287147
SPY250221C00594000,2025-01-23 16:54:44+00:00,594.0,18.96,18.92,18.99,0.47999954,2.5974002,21.0,2671,0.1624839611816406,call,2025-02-21,18.955,19.012278237351254
SPY250221C00595000,2025-01-23 16:54:44+00:00,595.0,18.16,18.12,18.19,0.6000004,3.438398,133.0,29897,0.1603477520751953,call,2025-02-21,18.155,18.1969896137553
SPY250221C00596000,2025-01-23 16:20:37+00:00,596.0,16.98,17.27,17.34,0.1800003,1.0714304,25.0,2634,0.1572655075073242,call,2025-02-21,17.305,17.393764169214748
SPY250221C00597000,2025-01-23 16:47:20+00:00,597.0,16.59,16.53,16.59,0.5400009,3.364492,60.0,2382,0.1556480920410156,call,2025-02-21,16.560000000000002,16.60298931509136
SPY250221C00598000,2025-01-23 16:45:15+00:00,598.0,15.7,15.74,15.8,0.5,3.2894738,43.0,2727,0.1532067102050781,call,2025-02-21,15.77,15.824909747124277
SPY250221C00599000,2025-01-23 16:28:25+00:00,599.0,14.96,14.98,15.03,0.52000046,3.6011114,23.0,3379,0.150948432006836,call,2025-02-21,15.004999999999999,15.05976946425045
SPY250221C00600000,2025-01-23 16:50:28+00:00,600.0,14.4,14.23,14.28,0.8299999,6.1164327,220.0,24595,0.1488122229003906,call,2025-02-21,14.254999999999999,14.30796248750299
SPY250221C00601000,2025-01-23 16:53:24+00:00,601.0,13.46,13.47,13.52,0.5500002,4.260265,78.0,1913,0.1463403237915039,call,2025-02-21,13.495000000000001,13.57013121063955
SPY250221C00602000,2025-01-23 16:35:55+00:00,602.0,12.81,12.76,12.81,0.5,4.0617385,56.0,6055,0.1444177355957031,call,2025-02-21,12.785,12.847168888524319
SPY250221C00603000,2025-01-23 16:51:38+00:00,603.0,11.96,12.04,12.07,0.21000004,1.7872344,65.0,3458,0.1418848019409179,call,2025-02-21,12.055,12.140144438987395
SPY250221C00604000,2025-01-23 16:51:19+00:00,604.0,11.29,11.35,11.38,0.48999977,4.537035,79.0,7759,0.1398706619262695,call,2025-02-21,11.365,11.45021367688365
SPY250221C00605000,2025-01-23 16:53:06+00:00,605.0,10.67,10.69,10.71,0.47000027,4.607846,1952.0,18383,0.1379480737304687,call,2025-02-21,10.7,10.778537674125388
SPY250221C00606000,2025-01-23 16:51:34+00:00,606.0,9.98,10.02,10.04,0.3899994,4.0667295,570.0,3038,0.1357813473510742,call,2025-02-21,10.03,10.12623477427707
SPY250221C00607000,2025-01-23 16:52:31+00:00,607.0,9.29,9.38,9.41,0.22999954,2.5386262,419.0,4011,0.1339808282470703,call,2025-02-21,9.395,9.494352984903188
SPY250221C00608000,2025-01-23 16:54:48+00:00,608.0,8.8,8.78,8.8,0.4499998,5.395681,2329.0,9787,0.1322108264160156,call,2025-02-21,8.79,8.88383293326724
SPY250221C00609000,2025-01-23 16:46:15+00:00,609.0,8.36,8.16,8.18,0.55999947,7.17948,183.0,4423,0.1300441000366211,call,2025-02-21,8.17,8.295478154854822
SPY250221C00610000,2025-01-23 16:52:10+00:00,610.0,7.54,7.63,7.65,0.26999998,3.7138925,1243.0,15544,0.1289149609375,call,2025-02-21,7.640000000000001,7.7299288075754315
SPY250221C00611000,2025-01-23 16:46:15+00:00,611.0,7.19,7.08,7.1,0.3499999,5.0505037,211.0,3767,0.1272365109252929,call,2025-02-21,7.09,7.187661016015005
SPY250221C00612000,2025-01-23 16:34:41+00:00,612.0,6.62,6.53,6.55,0.26999998,4.2519684,197.0,3064,0.1252834054565429,call,2025-02-21,6.54,6.668992338786219
SPY250221C00613000,2025-01-23 16:54:02+00:00,613.0,6.06,6.06,6.08,0.17999983,3.0612216,79.0,5055,0.1242153009033203,call,2025-02-21,6.07,6.174100854114057
SPY250221C00614000,2025-01-23 16:41:54+00:00,614.0,5.6,5.59,5.61,0.25999975,4.868909,392.0,3374,0.1228420236206054,call,2025-02-21,5.6,5.703024953877376
SPY250221C00615000,2025-01-23 16:53:25+00:00,615.0,5.13,5.14,5.16,0.22000027,4.480657,2665.0,30276,0.1214992636108398,call,2025-02-21,5.15,5.2557005706905935
SPY250221C00616000,2025-01-23 16:53:00+00:00,616.0,4.7,4.72,4.74,-0.05000019,-1.0526356,102.0,2527,0.1202785726928711,call,2025-02-21,4.73,4.831914709153969
SPY250221C00617000,2025-01-23 16:46:12+00:00,617.0,4.47,4.31,4.33,0.25,5.924171,254.0,1687,0.1189052954101562,call,2025-02-21,4.32,4.431145028702437
SPY250221C00618000,2025-01-23 16:53:06+00:00,618.0,3.95,3.94,3.95,0.17000008,4.4973564,165.0,4393,0.1176846044921875,call,2025-02-21,3.9450000000000003,4.052215838650467
